statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
Q7day_min,2.0,-40.0,0.0078,0.0012,0.0171,0.0206
Q7day_min,2.0,-30.0,0.0089,0.0012,0.0211,0.0252
Q7day_min,2.0,-20.0,0.0104,0.0013,0.0257,0.0304
Q7day_min,2.0,-10.0,0.0127,0.0014,0.0313,0.0365
Q7day_min,2.0,0.0,0.0161,0.0015,0.0371,0.0426
Q7day_min,2.0,10.000000000000014,0.0204,0.0017,0.0432,0.0489
Q7day_min,2.0,20.0,0.0255,0.0019,0.0497,0.0555
Q7day_min,3.0,-40.0,0.0077,0.0012,0.0169,0.0203
Q7day_min,3.0,-30.0,0.0087,0.0012,0.0208,0.0249
Q7day_min,3.0,-20.0,0.0102,0.0013,0.0253,0.0299
Q7day_min,3.0,-10.0,0.0124,0.0013,0.0308,0.036
Q7day_min,3.0,0.0,0.0156,0.0015,0.0365,0.0421
Q7day_min,3.0,10.000000000000014,0.0197,0.0017,0.0425,0.0482
Q7day_min,3.0,20.0,0.0246,0.0018,0.0489,0.0547
Q7day_min,4.0,-40.0,0.0076,0.0012,0.0166,0.02
Q7day_min,4.0,-30.0,0.0085,0.0012,0.0205,0.0246
Q7day_min,4.0,-20.0,0.01,0.0013,0.0249,0.0295
Q7day_min,4.0,-10.0,0.012,0.0013,0.0302,0.0355
Q7day_min,4.0,0.0,0.0152,0.0015,0.0359,0.0415
Q7day_min,4.0,10.000000000000014,0.0191,0.0016,0.0419,0.0476
Q7day_min,4.0,20.0,0.0237,0.0018,0.048,0.0539
drymonth_mean,0.0,-40.0,0.0089,0.0015,0.0183,0.0219
drymonth_mean,0.0,-30.0,0.0101,0.0015,0.0226,0.027
drymonth_mean,0.0,-20.0,0.0119,0.0015,0.0282,0.0335
drymonth_mean,0.0,-10.0,0.0147,0.0016,0.0341,0.0399
drymonth_mean,0.0,0.0,0.0187,0.0018,0.0404,0.0467
drymonth_mean,0.0,10.000000000000014,0.0238,0.002,0.0474,0.0538
drymonth_mean,0.0,20.0,0.0302,0.0022,0.0546,0.061
drymonth_mean,1.0,-40.0,0.0088,0.0015,0.0181,0.0216
drymonth_mean,1.0,-30.0,0.0099,0.0015,0.0223,0.0267
drymonth_mean,1.0,-20.0,0.0116,0.0015,0.0278,0.033
drymonth_mean,1.0,-10.0,0.0143,0.0016,0.0336,0.0394
drymonth_mean,1.0,0.0,0.0181,0.0018,0.0398,0.046
drymonth_mean,1.0,10.000000000000014,0.023,0.002,0.0465,0.053
drymonth_mean,1.0,20.0,0.029,0.0022,0.0536,0.06
drymonth_mean,2.0,-40.0,0.0087,0.0015,0.0179,0.0214
drymonth_mean,2.0,-30.0,0.0098,0.0015,0.022,0.0263
drymonth_mean,2.0,-20.0,0.0114,0.0015,0.0274,0.0326
drymonth_mean,2.0,-10.0,0.0139,0.0016,0.0331,0.0389
drymonth_mean,2.0,0.0,0.0176,0.0018,0.0392,0.0454
drymonth_mean,2.0,10.000000000000014,0.0223,0.002,0.0457,0.0522
drymonth_mean,2.0,20.0,0.0279,0.0022,0.0526,0.0591
drymonth_mean,3.0,-40.0,0.0085,0.0015,0.0176,0.0211
drymonth_mean,3.0,-30.0,0.0096,0.0015,0.0217,0.026
drymonth_mean,3.0,-20.0,0.0112,0.0015,0.027,0.0322
drymonth_mean,3.0,-10.0,0.0135,0.0016,0.0325,0.0383
drymonth_mean,3.0,0.0,0.0171,0.0018,0.0386,0.0448
drymonth_mean,3.0,10.000000000000014,0.0215,0.0019,0.045,0.0515
drymonth_mean,3.0,20.0,0.0269,0.0021,0.0517,0.0582
drymonth_mean,4.0,-40.0,0.0084,0.0015,0.0174,0.0208
drymonth_mean,4.0,-30.0,0.0094,0.0015,0.0214,0.0257
drymonth_mean,4.0,-20.0,0.0109,0.0015,0.0266,0.0318
drymonth_mean,4.0,-10.0,0.0132,0.0016,0.032,0.0377
drymonth_mean,4.0,0.0,0.0166,0.0017,0.038,0.0442
drymonth_mean,4.0,10.000000000000014,0.0209,0.0019,0.0443,0.0508
drymonth_mean,4.0,20.0,0.026,0.0021,0.0508,0.0574
BaseFlowIndex,0.0,-40.0,0.1115,0.3095,0.5492,0.6659
BaseFlowIndex,0.0,-30.0,0.1122,0.2809,0.5319,0.6354
